10100,2003-01-06,2003-01-13,2003-01-10,Shipped,,363
10101,2003-01-09,2003-01-18,2003-01-11,Shipped,Check on availability.,128
10102,2003-01-10,2003-01-18,2003-01-14,Shipped,,181
10103,2003-01-29,2003-02-07,2003-02-02,Shipped,,121
10104,2003-01-31,2003-02-09,2003-02-01,Shipped,,141
10105,2003-02-11,2003-02-21,2003-02-12,Shipped,,145
10106,2003-02-17,2003-02-24,2003-02-21,Shipped,,278
10107,2003-02-24,2003-03-03,2003-02-26,Shipped,Difficult to negotiate with customer. We need more marketing materials,131
10108,2003-03-03,2003-03-12,2003-03-08,Shipped,,385
10109,2003-03-10,2003-03-19,2003-03-11,Shipped,Customer requested that FedEx Ground is used for this shipping,486
10110,2003-03-18,2003-03-24,2003-03-20,Shipped,,187
10111,2003-03-25,2003-03-31,2003-03-30,Shipped,,129
10112,2003-03-24,2003-04-03,2003-03-29,Shipped,"Customer requested that ad materials (such as posters, pamphlets) be included in the shippment",144
10113,2003-03-26,2003-04-02,2003-03-27,Shipped,,124
